;;x;y;fx;fy
;;-112;112;-92;200
;;-112;116;-92;200
;;-112;119;0;200
;;-112;122;0;200
;;-112;129;0;200
;;-112;130;0;-28
;;-112;130;0;-28
;;-112;130;0;-28
;;-112;130;0;-28
;;-112;130;0;-28
;;-112;130;0;-28
;;-112;130;0;-52
;;-112;130;0;-52
;;-112;130;0;-52
;;-112;130;0;-52
;;-112;130;0;-58
;;-112;130;0;-58
;;-112;130;0;-58
;;-112;130;0;-58
;;-112;130;0;-58
;;-112;130;0;-74
;;-112;130;0;-74
;;-112;130;0;-74
;;-112;130;0;-74
;;-112;130;0;-74
;;-112;129;0;-283
;;-112;126;0;-283
;;-112;122;0;-283
;;-112;115;0;-283
;;-112;111;0;-283
;;-112;108;0;-283
;;-112;103;0;-257
;;-112;98;0;-257
;;-112;89;0;-257
;;-112;79;0;-257
;;-112;79;0;-257
;;-112;72;0;-214
;;-112;69;0;-214
;;-112;66;0;-214
;;-112;62;0;-214
;;-112;55;0;-254
;;-112;50;0;-254
;;-112;45;0;-254
;;-112;40;0;-254
;;-112;31;0;-254
;;-112;26;0;-253
;;-112;21;0;-253
;;-112;12;0;-253
;;-112;7;0;-253
;;-112;2;0;-253
;;-112;-1;0;-225
;;-112;-8;0;-225
;;-112;-11;0;-225
;;-112;-15;0;-225
;;-112;-18;0;-225
;;-112;-21;0;-217
;;-112;-28;0;-217
;;-112;-31;0;-217
;;-112;-38;0;-217
;;-112;-38;0;-217
;;-112;-45;0;-201
;;-112;-48;0;-201
;;-112;-51;0;-201
;;-112;-54;0;-201
;;-112;-61;0;-201
;;-112;-64;0;-186
;;-112;-66;0;-186
;;-112;-71;0;-186
;;-112;-74;0;-186
;;-112;-77;0;-186
;;-112;-79;0;-166
;;-112;-84;0;-166
;;-112;-87;0;-166
;;-112;-89;0;-166
;;-112;-92;0;-166
;;-112;-97;0;-165
;;-112;-99;0;-165
;;-112;-102;0;-165
;;-112;-104;0;-165
;;-112;-109;0;-156
;;-112;-111;0;-156
;;-112;-113;0;-156
;;-112;-115;0;-156
;;-112;-117;0;-156
;;-112;-121;0;-130
;;-112;-123;0;-130
;;-112;-125;0;-130
;;-112;-128;0;-130
;;-112;-130;0;-130
;;-112;-130;0;-82
;;-112;-130;0;-82
;;-112;-130;0;-82
;;-112;-130;0;-82
;;-112;-130;0;-82
;;-112;-130;0;-50
;;-112;-130;0;-50
;;-112;-130;73;-50
;;-112;-130;73;-50
;;-112;-130;73;-50
;;-112;-130;73;0
;;-112;-130;73;0
;;-112;-130;73;0
;;-109;-130;286;0
;;-102;-130;286;0
;;-98;-130;286;0
;;-94;-130;286;0
;;-91;-130;286;0
;;-87;-130;459;0
;;-80;-130;459;0
;;-76;-130;459;0
;;-72;-130;459;0
;;-69;-130;459;0
;;-62;-130;416;0
;;-58;-130;416;0
;;-51;-130;416;0
;;-47;-130;416;0
;;-43;-130;426;0
;;-40;-130;426;0
;;-36;-130;426;47
;;-32;-130;426;47
;;-25;-130;426;47
;;-21;-130;464;47
;;-14;-130;464;50
;;-11;-130;464;50
;;-11;-130;464;50
;;-3;-130;464;50
;;0;-130;482;50
;;3;-130;482;50
;;10;-130;482;40
;;14;-130;482;40
;;21;-130;488;40
;;25;-130;488;40
;;25;-130;488;40
;;32;-130;488;39
;;36;-130;488;39
;;40;-130;488;39
;;47;-130;476;39
;;51;-130;476;39
;;58;-130;476;30
;;61;-130;476;30
;;61;-130;476;30
;;69;-130;326;30
;;72;-130;326;30
;;76;-130;326;0
;;83;-130;326;0
