;;x;y;fx;fy;;;;;
;;6;-130;0;0;;;;;
;;6;-130;0;0;;;;;
;;6;-128;0;114;;;;;
;;6;-125;0;114;;;;;
;;6;-124;0;114;;;;;
;;6;-122;0;114;;;;;
;;6;-121;0;114;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;0;;;;;
;;6;-120;0;-79;;;;;
;;7;-120;187;-79;;;;;
;;10;-120;187;-79;;;;;
;;15;-120;187;-79;;;;;
;;17;-120;187;-79;;;;;
;;20;-121;187;-128;;;;;
;;27;-124;251;-128;;;;;
;;31;-126;251;-128;;;;;
;;36;-127;251;-128;;;;;
;;40;-129;251;-128;;;;;
;;49;-130;491;-38;;;;;
;;53;-130;491;-38;;;;;
;;57;-130;491;-38;;;;;
;;60;-130;491;-38;;;;;
;;64;-130;491;-38;;;;;
;;71;-130;491;-48;;;;;
;;75;-130;546;-48;;;;;
;;82;-130;546;-48;;;;;
;;82;-130;546;-48;;;;;
;;89;-130;546;-48;;;;;
;;93;-130;546;-80;;;;;
;;97;-130;505;-80;;;;;
;;100;-130;505;-80;;;;;
;;107;-130;505;-80;;;;;
;;111;-130;505;-80;;;;;
;;115;-130;505;-86;;;;;
;;122;-130;440;-86;;;;;
;;126;-130;440;-86;;;;;
;;129;-130;440;-86;;;;;
;;137;-130;440;-134;;;;;
;;140;-130;440;-134;;;;;
;;142;-130;27;-134;;;;;
;;142;-130;27;-134;;;;;
;;142;-130;27;-134;;;;;
;;142;-130;27;-150;;;;;
;;142;-130;27;-150;;;;;
;;142;-130;0;-150;;;;;
;;142;-130;0;-150;;;;;
;;142;-130;0;-150;;;;;
;;142;-130;0;-150;;;;;
;;142;-130;0;-90;;;;;
;;142;-130;0;-90;;;;;
;;142;-130;0;-90;;;;;
;;142;-130;0;-90;;;;;
;;142;-130;0;-90;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-98;;;;;
;;142;-130;0;-84;;;;;
;;142;-130;0;-84;;;;;
;;142;-130;0;-84;;;;;
;;142;-130;0;-84;;;;;
;;142;-130;0;-84;;;;;
;;142;-130;0;-78;;;;;
;;142;-130;0;-78;;;;;
;;142;-130;0;-78;;;;;
;;142;-130;0;-78;;;;;
;;142;-130;0;-78;;;;;
;;142;-130;0;-83;;;;;
;;142;-130;0;-83;;;;;
;;142;-130;0;-83;;;;;
;;142;-130;0;-83;;;;;
;;142;-130;0;-83;;;;;
;;142;-130;0;-63;;;;;
;;142;-130;0;-63;;;;;
;;142;-130;0;-63;;;;;
;;142;-130;0;-63;;;;;
;;142;-130;-83;-63;;;;;
;;142;-130;-83;0;;;;;
;;142;-130;-83;0;;;;;
;;142;-130;-83;0;;;;;
;;142;-130;-83;0;;;;;
;;142;-130;-158;0;;;;;
;;140;-130;-158;0;;;;;
;;136;-130;-158;0;;;;;
;;133;-130;-158;0;;;;;
;;131;-130;-158;0;;;;;
;;129;-130;-158;0;;;;;
;;125;-130;-211;0;;;;;
;;121;-130;-211;0;;;;;
;;114;-130;-211;0;;;;;
;;110;-130;-211;0;;;;;
;;106;-130;-211;0;;;;;
;;101;-122;-159;386;;;;;
;;99;-117;-159;386;;;;;
;;97;-113;-159;386;;;;;
;;92;-104;-159;386;;;;;
;;90;-100;-147;454;;;;;
;;88;-96;-147;454;;;;;
;;86;-92;-147;454;;;;;
;;84;-88;-147;454;;;;;
;;80;-80;-147;454;;;;;
;;78;-76;-175;378;;;;;
;;76;-71;-175;378;;;;;
;;71;-62;-175;378;;;;;
;;71;-62;-175;378;;;;;
;;67;-54;-175;378;;;;;
